"sample_id","species_code","tot.catch","start_rm"
548088,"FMS",41,211.84
548088,"HBC",9,211.84
548088,"SPD",11,211.84
548089,"FMS",24,212.86
548089,"HBC",5,212.86
548089,"SPD",11,212.86
548091,"FHM",2,213.01
548091,"FMS",40,213.01
548091,"HBC",2,213.01
548091,"SPD",6,213.01
548092,"BHS",3,213.81
548092,"FHM",5,213.81
548092,"FMS",201,213.81
548092,"HBC",2,213.81
548092,"SPD",131,213.81
548093,"FHM",1,214.45
548093,"FMS",39,214.45
548093,"HBC",7,214.45
548093,"SPD",11,214.45
548094,"FMS",76,214.94
548094,"HBC",4,214.94
548094,"SPD",21,214.94
548095,"BHS",1,216.42
548095,"FMS",143,216.42
548095,"HBC",1,216.42
548095,"SPD",91,216.42
548096,"FHM",3,217.44
548096,"FMS",288,217.44
548096,"HBC",5,217.44
548096,"SPD",6,217.44
548097,"FMS",14,219.01
548097,"HBC",1,219.01
